ЧМ-2026 — плей-офф
Часовой пояс: Asia/Yekaterinburg (UTC+5, YEKT)

Обозначения:
  1-A / 2-B — место в группе; 3-ABCDF — лучшая из третьих мест указанных групп
  W73 — победитель матча №73; L101 — проигравший полуфинала №1

1/8 финала (Round of 16) — 4–7 июля

| Дата (Уфа) | Время (Уфа) | Матч | Стадион, город |
| --- | --- | --- | --- |
| 4 июля | 22:00 | М90: W73 vs W75 | NRG Stadium, Хьюстон |
| 5 июля | 02:00 | М89: W74 vs W77 | Lincoln Financial Field, Филадельфия |
| 6 июля | 01:00 | М91: W76 vs W78 | MetLife Stadium, Нью-Джерси |
| 6 июля | 05:00 | М92: W79 vs W80 | Estadio Azteca, Мехико |
| 7 июля | 00:00 | М93: W83 vs W84 | AT&T Stadium, Арлингтон |
| 7 июля | 04:00 | М94: W81 vs W82 | Lumen Field, Сиэтл |
| 7 июля | 21:00 | М95: W86 vs W88 | Mercedes-Benz Stadium, Атланта |
| 8 июля | 01:00 | М96: W85 vs W87 | BC Place, Ванкувер |
